time,id,x,y,w,h
3002.00 ,4 ,346.95 ,219.39 ,22.91 ,65.86 
3036.00 ,1 ,291.53 ,328.81 ,25.15 ,71.61 
3036.00 ,2 ,452.22 ,299.52 ,34.01 ,58.74 
3036.00 ,3 ,386.15 ,267.36 ,22.38 ,56.98 
3036.00 ,4 ,347.55 ,220.34 ,23.14 ,64.63 
3069.00 ,1 ,291.14 ,328.63 ,26.24 ,70.56 
3069.00 ,2 ,452.93 ,299.91 ,34.29 ,55.65 
3069.00 ,3 ,386.45 ,268.26 ,22.17 ,54.40 
3069.00 ,4 ,348.84 ,221.23 ,23.08 ,63.29 
3102.00 ,1 ,291.00 ,330.56 ,26.76 ,72.90 
3102.00 ,2 ,453.77 ,305.64 ,34.95 ,47.60 
3102.00 ,3 ,386.81 ,270.28 ,22.21 ,54.65 
3102.00 ,4 ,349.58 ,222.37 ,23.26 ,62.26 
3136.00 ,1 ,290.82 ,331.23 ,26.84 ,74.22 
3136.00 ,2 ,454.92 ,302.14 ,36.42 ,52.77 
3136.00 ,3 ,387.96 ,270.53 ,23.89 ,53.80 
3136.00 ,4 ,350.69 ,222.89 ,22.13 ,63.09 
3169.00 ,1 ,290.93 ,331.62 ,26.55 ,74.72 
3169.00 ,2 ,455.90 ,300.81 ,37.45 ,56.02 
3169.00 ,3 ,388.98 ,270.94 ,24.07 ,51.84 
3169.00 ,4 ,351.66 ,222.70 ,21.96 ,63.72 
3202.00 ,1 ,291.59 ,333.26 ,25.30 ,75.91 
3202.00 ,2 ,456.74 ,300.11 ,36.22 ,67.21 
3202.00 ,3 ,389.81 ,272.70 ,25.68 ,53.42 
3202.00 ,4 ,352.33 ,223.01 ,21.94 ,64.19 
3236.00 ,1 ,292.23 ,333.11 ,24.30 ,74.47 
3236.00 ,2 ,462.15 ,301.19 ,25.46 ,68.74 
3236.00 ,3 ,390.19 ,273.76 ,26.00 ,52.40 
3236.00 ,4 ,352.68 ,224.71 ,21.60 ,63.57 
3269.00 ,1 ,291.77 ,333.56 ,25.95 ,75.66 
3269.00 ,2 ,464.75 ,302.68 ,20.43 ,67.30 
3269.00 ,3 ,391.25 ,275.63 ,26.65 ,49.43 
3269.00 ,4 ,353.20 ,227.06 ,22.01 ,62.79 
